patent_id,image_label,text_label,text_confidence,arch_final,provenance,review_comment,decided_at
US2021039776A1,RC,RC,M,,pending,,
US2025058870A1,RC,RC,H,,pending,,
CA2963502A1,SLC,SLC,H,,pending,,
CN105923154A,SLC,SLC,M,,pending,,
CN109263910A,SLC,SLC,M,,pending,,
CN109263926A,SLC,SLC,M,,pending,,
CN109263968A,SLC,SLC,H,,pending,,
CN109263969A,SLC,SLC,M,,pending,,
CN109263981A,SLC,SLC,M,,pending,,
CN111301676A,SLC,SLC,H,,pending,,
CN111731475A,SLC,SLC,H,,pending,,
CN113443135A,SLC,SLC,H,,pending,,
CN114056558A,SLC,SLC,H,,pending,,
CN114620226A,SLC,SLC,M,,pending,,
CN115258146A,SLC,SLC,H,,pending,,
CN115285345A,SLC,SLC,H,,pending,,
CN117184468A,SLC,SLC,M,,pending,,
CN117682065A,SLC,SLC,M,,pending,,
CN119239928A,SLC,SLC,H,,pending,,
CN119460097A,SLC,SLC,M,,pending,,
CN120096807A,SLC,SLC,H,,pending,,
CN120397241A,SLC,SLC,M,,pending,,
CN120503960A,SLC,SLC,H,,pending,,
CN120863861A,SLC,SLC,H,,pending,,
CN120863865A,SLC,SLC,H,,pending,,
CN120887008A,SLC,SLC,H,,pending,,
CN218288104U,SLC,SLC,M,,pending,,
DE102012020498A1,SLC,SLC,H,,pending,,
DE102015000703A1,SLC,SLC,H,,pending,,
DE102019009187A1,SLC,SLC,H,,pending,,
DE102021113538A1,SLC,SLC,H,,pending,,
DE102023108565B3,SLC,SLC,M,,pending,,
DE102024105448A1,SLC,SLC,M,,pending,,
DE202014004877U1,SLC,SLC,H,,pending,,
DE202015007089U1,SLC,SLC,H,,pending,,
DE202016005012U1,SLC,SLC,H,,pending,,
EP3290334A1,SLC,SLC,H,,pending,,
FR3136745A1,SLC,SLC,H,,pending,,
IT202300024612A1,SLC,SLC,M,,pending,,
JP7438589B1,SLC,SLC,H,,pending,,
KR20240080620A,SLC,SLC,H,,pending,,
RU2701284C1,SLC,SLC,H,,pending,,
RU2762441C1,SLC,SLC,M,,pending,,
RU2764311C1,SLC,SLC,H,,pending,,
SK500442018A3,SLC,SLC,H,,pending,,
US10053213B1,SLC,SLC,H,,pending,,
US10501173B1,SLC,SLC,M,,pending,,
US11001377B1,SLC,SLC,M,SLC,known_aircraft,,
US11072423B1,SLC,SLC,H,,pending,,
US11485488B1,SLC,SLC,H,,pending,,
US12325540B1,SLC,SLC,H,,pending,,
US2003085319A1,SLC,SLC,M,,pending,,
US2006151666A1,SLC,SLC,H,,pending,,
US2006192046A1,SLC,SLC,H,SLC,known_aircraft,,
US2012012692A1,SLC,SLC,H,,pending,,
US2013020429A1,SLC,SLC,H,,pending,,
US2013118856A1,SLC,SLC,M,,pending,,
US2016207625A1,SLC,SLC,H,,pending,,
US2016236774A1,SLC,SLC,H,,pending,,
US2016236775A1,SLC,SLC,H,,pending,,
US2018105267A1,SLC,SLC,M,,pending,,
US2018118335A1,SLC,SLC,H,,pending,,
US2018141652A1,SLC,SLC,H,,pending,,
US2018162525A1,SLC,SLC,H,SLC,known_aircraft,,
US2018290735A1,SLC,SLC,H,,pending,,
US2018305005A1,SLC,SLC,H,,pending,,
US2019023391A1,SLC,SLC,H,,pending,,
US2019084684A1,SLC,SLC,M,,pending,,
US2019092461A1,SLC,SLC,M,SLC,known_aircraft,,
US2019112039A1,SLC,SLC,M,,pending,,
US2019270517A1,SLC,SLC,M,,pending,,
US2019329880A1,SLC,SLC,M,SLC,known_aircraft,,
US2019382106A1,SLC,SLC,M,,pending,,
US2020079501A1,SLC,SLC,H,SLC,known_aircraft,,
US2020115045A1,SLC,SLC,H,,pending,,
US2020156778A1,SLC,SLC,H,,pending,,
US2020247536A1,SLC,SLC,H,,pending,,
US2020269980A1,SLC,SLC,H,,pending,,
US2020354048A1,SLC,SLC,H,SLC,known_aircraft,,
US2020407055A1,SLC,SLC,H,,pending,,
US2021016876A1,SLC,SLC,M,SLC,known_aircraft,,
US2021031910A1,SLC,SLC,H,SLC,known_aircraft,,
US2021122465A1,SLC,SLC,H,,pending,,
US2021197965A1,SLC,SLC,H,,pending,,
US2021245872A1,SLC,SLC,H,,pending,,
US2021245873A1,SLC,SLC,H,,pending,,
US2021362836A1,SLC,SLC,M,SLC,known_aircraft,,
US2021362850A1,SLC,SLC,H,,pending,,
US2022043465A1,SLC,SLC,H,,pending,,
US2022081107A1,SLC,SLC,H,,pending,,
US2022097835A1,SLC,SLC,H,,pending,,
US2022144443A1,SLC,SLC,M,,pending,,
US2022169371A1,SLC,SLC,H,,pending,,
US2022281593A1,SLC,SLC,H,,pending,,
US2023192285A1,SLC,SLC,H,SLC,known_aircraft,,
US2023192289A1,SLC,SLC,H,SLC,known_aircraft,,
US2023356836A1,SLC,SLC,H,,pending,,
US2024025540A1,SLC,SLC,H,,pending,,
US2024059393A1,SLC,SLC,H,SLC,known_aircraft,,
US2024190562A1,SLC,SLC,H,SLC,known_aircraft,,
US2024300643A1,SLC,SLC,H,SLC,known_aircraft,,
US2025042543A1,SLC,SLC,H,SLC,known_aircraft,,
US2025353590A1,SLC,SLC,H,,pending,,
US2025388318A1,SLC,SLC,H,,pending,,
US2026001646A1,SLC,SLC,H,,pending,,
US2026054830A1,SLC,SLC,M,,pending,,
US9120560B1,SLC,SLC,H,,pending,,
US9764833B1,SLC,SLC,H,,pending,,
WO2019010554A1,SLC,SLC,H,,pending,,
WO2020003657A1,SLC,SLC,H,,pending,,
WO2022180755A1,SLC,SLC,H,SLC,known_aircraft,,
WO2022225421A1,SLC,SLC,H,,pending,,
WO2023051929A1,SLC,SLC,H,,pending,,
WO2024252755A1,SLC,SLC,H,,pending,,
WO2026062567A1,SLC,SLC,H,,pending,,
GB202302720D0,SRW,SRW,M,,pending,,
KR20240170008A,SRW,SRW,H,,pending,,
US2017341740A1,SRW,SRW,H,,pending,,
US2026138739A1,SRW,SRW,H,,pending,,
WO2025065072A1,SRW,SRW,H,,pending,,
CA2947683A1,TB,TB,H,,pending,,
CN104229137A,TB,TB,H,,pending,,
CN109649650A,TB,TB,H,,pending,,
EP3636545A1,TB,TB,H,,pending,,
FR2942455A1,TB,TB,M,,pending,,
FR3146308A1,TB,TB,H,,pending,,
GB201817002D0,TB,TB,H,,pending,,
GB201903200D0,TB,TB,M,,pending,,
ITUB20150829A1,TB,TB,H,,pending,,
KR102712524B1,TB,TB,M,,pending,,
US11319064B1,TB,TB,H,,pending,,
US2005178879A1,TB,TB,H,,pending,,
US2015014475A1,TB,TB,H,,pending,,
US2018002003A1,TB,TB,H,,pending,,
US2018002011A1,TB,TB,M,,pending,,
US2018339761A1,TB,TB,M,,pending,,
US2020062384A1,TB,TB,H,,pending,,
US2021122468A1,TB,TB,H,,pending,,
US2022169380A1,TB,TB,H,,pending,,
US2023091705A1,TB,TB,H,,pending,,
US2024375799A1,TB,TB,H,,pending,,
US2025074586A1,TB,TB,H,,pending,,
US2025083809A1,TB,TB,H,,pending,,
US2025340293A1,TB,TB,H,,pending,,
WO2017042291A1,TB,TB,M,,pending,,
WO2020183739A1,TB,TB,H,,pending,,
WO2024168389A1,TB,TB,H,,pending,,
WO2025255583A1,TB,TB,H,,pending,,
CN103786881A,TR,TR,H,,pending,,
CN105730692A,TR,TR,H,,pending,,
CN111874226A,TR,TR,H,,pending,,
CN112061386A,TR,TR,M,,pending,,
CN113022848A,TR,TR,M,,pending,,
CN113998098A,TR,TR,H,,pending,,
CN114684361A,TR,TR,H,,pending,,
CN114735209A,TR,TR,H,,pending,,
CN115447786A,TR,TR,H,,pending,,
CN117048822A,TR,TR,H,,pending,,
CN117465666A,TR,TR,H,,pending,,
CN117566089A,TR,TR,M,,pending,,
CN117985223A,TR,TR,H,,pending,,
CN118618608A,TR,TR,H,,pending,,
CN118770545A,TR,TR,H,,pending,,
CN119611752A,TR,TR,M,,pending,,
CN119872875A,TR,TR,H,,pending,,
CN120191516A,TR,TR,H,,pending,,
CN120270494A,TR,TR,H,,pending,,
CN120517586A,TR,TR,H,,pending,,
CN121158211A,TR,TR,H,,pending,,
DE102016011273A1,TR,TR,H,,pending,,
DE102019102189A1,TR,TR,H,,pending,,
DE202013011072U1,TR,TR,H,,pending,,
DE202018002525U1,TR,TR,H,,pending,,
DE202019002731U1,TR,TR,M,,pending,,
EP2570345A1,TR,TR,M,,pending,,
EP4306409A1,TR,TR,M,,pending,,
GB202306162D0,TR,TR,H,,pending,,
KR100555176B1,TR,TR,H,,pending,,
KR100822366B1,TR,TR,H,,pending,,
KR20200079649A,TR,TR,H,,pending,,
KR20230075012A,TR,TR,M,,pending,,
KR20250038333A,TR,TR,M,,pending,,
NL2019667B1,TR,TR,M,,pending,,
PT109064A,TR,TR,H,,pending,,
RO131684A0,TR,TR,M,,pending,,
TWI627104B,TR,TR,H,,pending,,
US10913529B1,TR,TR,M,,pending,,
US11780576B1,TR,TR,H,,pending,,
US12202600B1,TR,TR,H,,pending,,
US12486026B1,TR,TR,M,,pending,,
US2004026563A1,TR,TR,H,,pending,,
US2006239824A1,TR,TR,M,,pending,,
US2007158494A1,TR,TR,H,,pending,,
US2009212166A1,TR,TR,H,,pending,,
US2009224096A1,TR,TR,H,TR,known_aircraft,,
US2009261209A1,TR,TR,H,,pending,,
US2009266941A1,TR,TR,H,,pending,,
US2009266942A1,TR,TR,H,,pending,,
US2011024552A1,TR,TR,H,TR,known_aircraft,,
US2011168835A1,TR,TR,H,,pending,,
US2012061526A1,TR,TR,M,,pending,,
US2012199699A1,TR,TR,H,,pending,,
US2012211608A1,TR,TR,H,,pending,,
US2012234968A1,TR,TR,M,,pending,,
US2012261523A1,TR,TR,H,,pending,,
US2013026302A1,TR,TR,H,,pending,,
US2013026303A1,TR,TR,H,,pending,,
US2013264429A1,TR,TR,H,,pending,,
US2014158816A1,TR,TR,H,,pending,,
US2014263854A1,TR,TR,H,,pending,,
US2015048213A1,TR,TR,H,,pending,,
US2015175260A1,TR,TR,H,,pending,,
US2016026190A1,TR,TR,H,,pending,,
US2016031556A1,TR,TR,M,TR,known_aircraft,,
US2016167780A1,TR,TR,H,,pending,,
US2017158323A1,TR,TR,H,,pending,,
US2017159674A1,TR,TR,M,,pending,,
US2017240273A1,TR,TR,H,,pending,,
US2018079487A1,TR,TR,H,,pending,,
US2018155017A1,TR,TR,H,,pending,,
US2018208305A1,TR,TR,H,,pending,,
US2018346111A1,TR,TR,M,TR,known_aircraft,,
US2018354616A1,TR,TR,H,,pending,,
US2018362155A1,TR,TR,M,,pending,,
US2019061936A1,TR,TR,M,,pending,,
US2019100303A1,TR,TR,H,,pending,,
US2019100313A1,TR,TR,H,,pending,,
US2019127060A1,TR,TR,M,,pending,,
US2019144107A1,TR,TR,H,,pending,,
US2019144109A1,TR,TR,H,,pending,,
US2019144126A1,TR,TR,M,,pending,,
US2019152593A1,TR,TR,H,,pending,,
US2019277353A1,TR,TR,M,,pending,,
US2019337615A1,TR,TR,M,,pending,,
US2020010187A1,TR,TR,M,TR,known_aircraft,,
US2020055586A1,TR,TR,M,,pending,,
US2020140079A1,TR,TR,H,,pending,,
US2020148354A1,TR,TR,M,,pending,,
US2020180756A1,TR,TR,M,,pending,,
US2020223537A1,TR,TR,H,,pending,,
US2020262553A1,TR,TR,H,,pending,,
US2020391879A1,TR,TR,H,,pending,,
US2021047029A1,TR,TR,H,,pending,,
US2021107639A1,TR,TR,H,,pending,,
US2021197953A1,TR,TR,H,,pending,,
US2021253235A1,TR,TR,M,,pending,,
US2021269148A1,TR,TR,M,,pending,,
US2021331792A1,TR,TR,M,,pending,,
US2021331794A1,TR,TR,H,,pending,,
US2021354816A1,TR,TR,H,,pending,,
US2021403155A1,TR,TR,M,,pending,,
US2022033071A1,TR,TR,M,,pending,,
US2022073201A1,TR,TR,M,,pending,,
US2022126996A1,TR,TR,H,,pending,,
US2022250742A1,TR,TR,H,,pending,,
US2022315217A1,TR,TR,H,,pending,,
US2022363376A1,TR,TR,M,,pending,,
US2022388647A1,TR,TR,H,,pending,,
US2022402603A1,TR,TR,H,,pending,,
US2023025366A1,TR,TR,H,,pending,,
US2023118750A1,TR,TR,M,,pending,,
US2023211877A1,TR,TR,H,,pending,,
US2023234705A1,TR,TR,H,,pending,,
US2023249816A1,TR,TR,H,,pending,,
US2023322376A1,TR,TR,M,,pending,,
US2023331379A1,TR,TR,H,,pending,,
US2024124128A1,TR,TR,M,,pending,,
US2024383602A1,TR,TR,H,,pending,,
US2024409209A1,TR,TR,M,,pending,,
US2025026472A1,TR,TR,H,,pending,,
US2025145283A1,TR,TR,H,,pending,,
US2025172947A1,TR,TR,H,,pending,,
US2025340290A1,TR,TR,H,TR,known_aircraft,,
US2026035071A1,TR,TR,H,,pending,,
US6367736B1,TR,TR,H,,pending,,
US6607161B1,TR,TR,H,,pending,,
USD739335S,TR,TR,M,,pending,,
USD892710S,TR,TR,M,,pending,,
WO2012047337A1,TR,TR,H,,pending,,
WO2016028358A2,TR,TR,H,,pending,,
WO2016062223A1,TR,TR,M,,pending,,
WO2017021391A1,TR,TR,H,,pending,,
WO2024164048A1,TR,TR,H,,pending,,
WO2025109312A1,TR,TR,H,,pending,,
WO2025116483A1,TR,TR,M,,pending,,
WO2025216782A2,TR,TR,H,,pending,,
WO2025236002A1,TR,TR,M,,pending,,
CN105836121A,TW,TW,H,,pending,,
CN106628168A,TW,TW,H,,pending,,
CN113525678A,TW,TW,H,,pending,,
CN113844647A,TW,TW,H,,pending,,
CN114180048A,TW,TW,H,,pending,,
CN118083120A,TW,TW,H,,pending,,
CN118457914A,TW,TW,H,,pending,,
CN118723072A,TW,TW,M,,pending,,
CN119460096A,TW,TW,M,,pending,,
CN119489922A,TW,TW,M,,pending,,
CZ36702U1,TW,TW,H,,pending,,
DE102016001771A1,TW,TW,H,,pending,,
GB202311251D0,TW,TW,H,,pending,,
US10589838B1,TW,TW,M,,pending,,
US11077937B1,TW,TW,H,,pending,,
US2005230519A1,TW,TW,H,,pending,,
US2011042510A1,TW,TW,H,,pending,,
US2012318908A1,TW,TW,H,,pending,,
US2016244158A1,TW,TW,H,,pending,,
US2017101176A1,TW,TW,H,,pending,,
US2018044012A1,TW,TW,M,,pending,,
US2018086448A1,TW,TW,H,,pending,,
US2018229606A1,TW,TW,M,,pending,,
US2019031333A1,TW,TW,H,,pending,,
US2019071174A1,TW,TW,H,,pending,,
US2019291863A1,TW,TW,H,,pending,,
US2020023963A1,TW,TW,H,,pending,,
US2020062383A1,TW,TW,H,,pending,,
US2020223542A1,TW,TW,M,,pending,,
US2020301446A1,TW,TW,H,,pending,,
US2020398977A1,TW,TW,H,,pending,,
US2021086897A1,TW,TW,M,,pending,,
US2021122466A1,TW,TW,H,,pending,,
US2021309351A1,TW,TW,H,,pending,,
US2022144421A1,TW,TW,H,,pending,,
US2023331380A1,TW,TW,H,,pending,,
US2024246669A1,TW,TW,H,,pending,,
US2026015083A1,TW,TW,H,,pending,,
US9975631B1,TW,TW,H,,pending,,
WO2018200879A1,TW,TW,H,,pending,,
CN110450948A,CVT|SLC,SLC,H,,pending,,
US2019135424A1,CVT|TR,TR,H,,pending,,
US2022306292A1,CVT|TR,CVT,H,,pending,,
US2024002048A1,CVT|TR,CVT,H,,pending,,
RU2657650C1,HB|MR,MR,H,,pending,,
US2012056040A1,MR|SLC,MR,M,,pending,,
KR20220033079A,MR|TR,MR,H,,pending,,
US2021064062A1,MR|TR,TR,M,,pending,,
CN111532426A,PTC|SLC,SLC,H,,pending,,
US2020269975A1,PTC|SLC,SLC,H,,pending,,
EP2669195A1,SLC|TR,SLC,H,,pending,,
US2013092799A1,SLC|TR,SLC,H,,pending,,
US2018222580A1,TR|TW,TR,H,,pending,,
CN109263914A,,SLC,L,,pending,,
CN109263949A,,CVT,M,,pending,,
US2025002146A1,,TR,L,,pending,,
AT503689A1,CVT,SLC,M,,pending,,
CN106882372A,CVT,SLC,M,,pending,,
CN106965928A,CVT,TW,M,,pending,,
CN108674654A,CVT,SLC,H,,pending,,
CN109263947A,CVT,SLC,M,,pending,,
CN109263961A,CVT,SLC,M,,pending,,
CN113306714A,CVT,TW,H,,pending,,
CN116443246A,CVT,TR,M,,pending,,
CN118439173A,CVT,TR,H,,pending,,
DE102007055313A1,CVT,TR,M,,pending,,
DE102015017425B3,CVT,TR,L,,pending,,
DE102017122359A1,CVT,PTC,M,,pending,,
EP4748710A1,CVT,TR,H,,pending,,
EP4748711A1,CVT,TR,H,,pending,,
FR2997924A1,CVT,TW,H,,pending,,
FR3115264A1,CVT,SLC,M,,pending,,
KR20230089903A,CVT,TR,M,,pending,,
US2009084890A1,CVT,TR,H,,pending,,
US2010072325A1,CVT,TR,H,,pending,,
US2011001020A1,CVT,TR,H,,pending,,
US2013099065A1,CVT,TW,H,,pending,,
US2014158815A1,CVT,PTC,M,,pending,,
US2015028151A1,CVT,TR,M,,pending,,
US2015274290A1,CVT,TR,M,,pending,,
US2017144746A1,CVT,TR,M,,pending,,
US2018170517A1,CVT,TB,M,,pending,,
US2018370629A1,CVT,TR,H,,pending,,
US2020010188A1,CVT,SLC,H,,pending,,
US2020055595A1,CVT,SRW,H,,pending,,
US2020391859A1,CVT,TR,H,,pending,,
US2020391861A1,CVT,TR,M,,pending,,
US2021316849A1,CVT,TR,M,,pending,,
US2022169373A1,CVT,TR,M,,pending,,
US2023056974A1,CVT,SLC,M,,pending,,
US2023086655A1,CVT,DS,M,,pending,,
US2023348088A1,CVT,SLC,M,,pending,,
US2023382525A1,CVT,TR,M,,pending,,
US2024092484A1,CVT,TR,H,,pending,,
US2024300644A1,CVT,TR,M,,pending,,
US2026131887A1,CVT,TR,M,,pending,,
US6622962B1,CVT,SRW,M,,pending,,
AU2020100605A4,CVT|TW,SLC,H,,pending,,
RU2757693C1,CVT|TW,TR,H,,pending,,
US2022371727A1,CVT|TW,TR,H,,pending,,
BR112023017877B1,DS,TR,M,,pending,,
UA124132C2,DS,TR,M,,pending,,
US2014339354A1,DS,TB,M,,pending,,
US2018201369A1,DS,TR,M,,pending,,
US2021078701A1,DS,TR,M,,pending,,
US2023312089A1,DS,CVT,M,,pending,,
CN119611751A,HB,MR,L,,pending,,
DE202023102941U1,HB,SLC,M,,pending,,
KR101129249B1,HB,TR,M,,pending,,
KR20160120094A,HB,MR,H,,pending,,
US2015053826A1,HB,TR,M,,pending,,
US2017174335A1,HB,MR,M,,pending,,
US2018178907A1,HB,MR,H,,pending,,
US2018362160A1,HB,CVT,H,,pending,,
US2019168866A1,HB,MR,H,,pending,,
US2019256200A1,HB,MR,M,,pending,,
US2020140078A1,HB,MR,M,,pending,,
US2021061456A1,HB,TB,H,,pending,,
US2021188427A1,HB,MR,H,,pending,,
WO2021029947A2,HB,TW,M,,pending,,
CN108928471A,MR,RC,H,,pending,,
CN113247244A,MR,SRW,L,,pending,,
CN114435591A,MR,SLC,M,,pending,,
CN120024492A,MR,RC,M,,pending,,
DE102008044812A1,MR,TR,M,,pending,,
ES2268941A1,MR,TR,M,,pending,,
ES2604711A1,MR,CVT,L,,pending,,
FR3041930A1,MR,TB,H,,pending,,
KR102760903B1,MR,TR,M,,pending,,
US2004155143A1,MR,SLC,H,,pending,,
US2017203839A1,MR,TW,M,,pending,,
US2017336809A1,MR,TB,M,,pending,,
US2018044011A1,MR,TW,H,,pending,,
US2018346108A1,MR,SLC,L,,pending,,
US2018354615A1,MR,TW,H,,pending,,
US2019023393A1,MR,RC,H,,pending,,
US2020324886A1,MR,SLC,M,,pending,,
US2021053672A1,MR,SRW,L,,pending,,
US2024140598A1,MR,CVT,H,,pending,,
US2024140627A1,MR,RC,M,,pending,,
US2024190561A1,MR,TR,M,,pending,,
GB202302628D0,MR|PTC,SLC,M,,pending,,
CN113460300A,PFV,TW,M,,pending,,
US2005127238A1,PFV,TR,H,,pending,,
US2006016929A1,PFV,MR,L,,pending,,
US2006192047A1,PFV,MR,H,,pending,,
US2020354054A1,PFV,MR,M,,pending,,
US2021316848A1,PFV,MR,M,,pending,,
US2023121845A1,PFV,TB,M,,pending,,
CN109263907A,PTC,SLC,M,,pending,,
CN121448607A,PTC,SLC,H,,pending,,
DE102013001852A1,PTC,SLC,H,,pending,,
DE102023135708A1,PTC,SLC,M,,pending,,
DE102024102441A1,PTC,SLC,H,,pending,,
DE102024105440A1,PTC,SLC,M,,pending,,
ES2555162A1,PTC,MR,L,,pending,,
RU2681464C1,PTC,MR,M,,pending,,
US2008173769A1,PTC,TR,H,,pending,,
US2016009387A1,PTC,SLC,H,,pending,,
US2018141653A1,PTC,SLC,M,,pending,,
US2019308723A1,PTC,SLC,M,,pending,,
US2022266995A1,PTC,TR,M,,pending,,
US2024150013A1,PTC,MR,H,,pending,,
US2024272652A1,PTC,MR,M,,pending,,
WO2024227493A1,PTC,CVT,M,,pending,,
US2014084114A1,RC,CVT,M,,pending,,
CA2874341A1,SLC,RC,H,,pending,,
CN106043685A,SLC,SRW,M,,pending,,
CN108502167A,SLC,RC,M,,pending,,
CN109263945A,SLC,CVT,L,,pending,,
CN111056002A,SLC,SRW,M,,pending,,
CN111731476A,SLC,CVT,H,,pending,,
CN111762314A,SLC,RC,M,,pending,,
CN113716033A,SLC,CVT,M,,pending,,
CN114449860A,SLC,MR,L,,pending,,
CN116215850A,SLC,RC,M,,pending,,
CN118343291A,SLC,CVT,M,,pending,,
CN118494752A,SLC,SRW,M,,pending,,
CN118701285A,SLC,CVT,M,,pending,,
DE202024104657U1,SLC,MR,L,,pending,,
EP3974315A1,SLC,CVT,H,,pending,,
EP3998209A1,SLC,TR,H,,pending,,
EP4151521A1,SLC,PTC,M,,pending,,
EP4741286A1,SLC,SRW,H,,pending,,
ES2288083A1,SLC,CVT,L,,pending,,
GB201801766D0,SLC,CVT,H,,pending,,
RU2700154C1,SLC,CVT,M,,pending,,
US2016311529A1,SLC,MR,M,,pending,,
US2016347447A1,SLC,MR,H,,pending,,
US2018029704A1,SLC,TR,M,,pending,,
US2018290736A1,SLC,PTC,H,,pending,,
US2019340933A1,SLC,CVT,M,,pending,,
US2020398980A1,SLC,RC,M,,pending,,
US2021206487A1,SLC,CVT,H,,pending,,
US2021371117A1,SLC,MR,L,,pending,,
US2022315236A1,SLC,MR,M,,pending,,
US2022355923A1,SLC,SRW,H,,pending,,
US2022380033A1,SLC,RC,H,,pending,,
US2022388648A1,SLC,CVT,M,,pending,,
US2023038458A1,SLC,CVT,M,,pending,,
US2023192279A1,SLC,SRW,H,,pending,,
US2023257103A1,SLC,RC,H,,pending,,
US2024253779A1,SLC,CVT,M,,pending,,
US2024417073A1,SLC,CVT,H,,pending,,
US2025171141A1,SLC,MR,M,,pending,,
USD1082648S,SLC,TB,M,,pending,,
WO2019202493A1,SLC,SRW,M,,pending,,
US2019332126A1,SLC|TR,RC,L,,pending,,
US2019337612A1,SRW,RC,H,,pending,,
US2024400199A1,SRW,RC,H,,pending,,
CN202728574U,TB,SLC,H,,pending,,
EP4339109A1,TB,PTC,M,,pending,,
RU2641952C1,TB,SLC,M,,pending,,
US2017183091A1,TB,TR,H,,pending,,
US2021016877A1,TB,TW,M,,pending,,
WO2025177317A2,TB,TR,M,,pending,,
CN108688803A,TR,TW,M,,pending,,
CN121871769A,TR,CVT,M,,pending,,
DE102019001240A1,TR,MR,M,,pending,,
DE102023129326A1,TR,SLC,H,,pending,,
ES2775773A1,TR,TW,H,,pending,,
FR2993245A1,TR,SRW,H,,pending,,
RU180474U1,TR,SLC,H,,pending,,
US10144503B1,TR,PTC,H,,pending,,
US2015314865A1,TR,CVT,H,,pending,,
US2016096613A1,TR,TB,H,,pending,,
US2018354613A1,TR,CVT,H,,pending,,
US2020164975A1,TR,CVT,H,,pending,,
US2020391862A1,TR,CVT,H,,pending,,
US2021107640A1,TR,CVT,M,,pending,,
US2021229802A1,TR,MR,M,,pending,,
